sourceplate,receivingplate,startpos,DNAvol,endpos
DNAsource,DNAreceiving,A1,3.012527831,A1
DNAsource,DNAreceiving,B1,3.965859423,A1
DNAsource,DNAreceiving,C1,2.245898885,A1
DNAsource,DNAreceiving,D1,1.095464666,A1
DNAsource,DNAreceiving,E1,4.177371926,A1
DNAsource,DNAreceiving,F1,1.116944365,A1
DNAsource,DNAreceiving,G1,2.874338481,A1
DNAsource,DNAreceiving,H1,2.068005904,A1
DNAsource,DNAreceiving,A2,3.560260164,A1
DNAsource,DNAreceiving,B2,1.970458456,A1
DNAsource,DNAreceiving,C2,1.558720868,A1
DNAsource,DNAreceiving,D2,6.204017712,A1
DNAsource,DNAreceiving,E2,4.016703775,A1
DNAsource,DNAreceiving,F2,3.5401457,A1
DNAsource,DNAreceiving,G2,1.171225774,A1
DNAsource,DNAreceiving,H2,4.540621659,A1
DNAsource,DNAreceiving,A3,3.424075349,A1
DNAsource,DNAreceiving,B3,1.353360235,A1
DNAsource,DNAreceiving,C3,2.760377925,A1
DNAsource,DNAreceiving,D3,1.780130082,A1
DNAsource,DNAreceiving,E3,2.536865542,A1
DNAsource,DNAreceiving,F3,1.702733122,A1
DNAsource,DNAreceiving,G3,1.745420025,A1
DNAsource,DNAreceiving,H3,1.554853074,A1
DNAsource,DNAreceiving,A4,1.726186746,A1
DNAsource,DNAreceiving,B4,1.586343769,A1
DNAsource,DNAreceiving,C4,1.411274299,A1
DNAsource,DNAreceiving,D4,1.386295993,A1
DNAsource,DNAreceiving,E4,1.316398716,A1
DNAsource,DNAreceiving,F4,1.976674413,A1
DNAsource,DNAreceiving,G4,1.707372722,A1
DNAsource,DNAreceiving,H4,2.081746807,A1
DNAsource,DNAreceiving,A5,0,A1
DNAsource,DNAreceiving,B5,1.21907741,A1
DNAsource,DNAreceiving,C5,1.31363897,A1
DNAsource,DNAreceiving,D5,1.362186498,A1
DNAsource,DNAreceiving,E5,0,A1
DNAsource,DNAreceiving,F5,1.151848877,A1
DNAsource,DNAreceiving,G5,1.371128641,A1
DNAsource,DNAreceiving,H5,1.248218703,A1
DNAsource,DNAreceiving,A6,4.149707211,A1
DNAsource,DNAreceiving,B6,4.095462672,A1
DNAsource,DNAreceiving,C6,1.95814309,A1
DNAsource,DNAreceiving,D6,1.790302254,A1
DNAsource,DNAreceiving,E6,2.516489112,A1
DNAsource,DNAreceiving,F6,1.38936982,A1
DNAsource,DNAreceiving,G6,6.393936621,A1
DNAsource,DNAreceiving,H6,4.095462672,A1
DNAsource,DNAreceiving,A7,1.800591347,A1
DNAsource,DNAreceiving,B7,2.214154731,A1
DNAsource,DNAreceiving,C7,1.566514472,A1
DNAsource,DNAreceiving,D7,1.644634616,A1
DNAsource,DNAreceiving,E7,2.712579173,A1
DNAsource,DNAreceiving,F7,1.087857272,A1
DNAsource,DNAreceiving,G7,2.245898885,A1
DNAsource,DNAreceiving,H7,2.835320312,A1
DNAsource,DNAreceiving,A8,1.49547921,A1
DNAsource,DNAreceiving,B8,1.398673636,A1
DNAsource,DNAreceiving,C8,1.610811797,A1
DNAsource,DNAreceiving,D8,1.284028256,A1
DNAsource,DNAreceiving,E8,1.945980711,A1
DNAsource,DNAreceiving,F8,1.310890772,A1
DNAsource,DNAreceiving,G8,1.81099939,A1
DNAsource,DNAreceiving,H8,1.01556854,A1
DNAsource,DNAreceiving,A9,3.280658581,A1
DNAsource,DNAreceiving,B9,1.460619555,A1
DNAsource,DNAreceiving,C9,1.31363897,A1
DNAsource,DNAreceiving,D9,1.481337562,A1
DNAsource,DNAreceiving,E9,1.305428727,A1
DNAsource,DNAreceiving,F9,1.046086459,A1
DNAsource,DNAreceiving,G9,1.374135502,A1
DNAsource,DNAreceiving,H9,1.238351361,A1
DNAsource,DNAreceiving,A10,1.870465041,A1
DNAsource,DNAreceiving,B10,1.7502955,A1
DNAsource,DNAreceiving,C10,1.228638802,A1
DNAsource,DNAreceiving,D10,1.976674413,A1
DNAsource,DNAreceiving,E10,1.427348038,A1
DNAsource,DNAreceiving,F10,2.047731336,A1
DNAsource,DNAreceiving,G10,1.120940588,A1
DNAsource,DNAreceiving,H10,0.994612363,A1
DNAsource,DNAreceiving,A11,2.014809611,A1
DNAsource,DNAreceiving,B11,1.31363897,A1
DNAsource,DNAreceiving,C11,1.679908281,A1
DNAsource,DNAreceiving,D11,1.263318123,A1
DNAsource,DNAreceiving,E11,1.362186498,A1
DNAsource,DNAreceiving,F11,1.153970145,A1
DNAsource,DNAreceiving,G11,1.417660156,A1
DNAsource,DNAreceiving,H11,1.175620617,A1
DNAsource,DNAreceiving,A12,1.488374795,A1
DNAsource,DNAreceiving,B12,1.330373225,A1
DNAsource,DNAreceiving,C12,0,A1
DNAsource,DNAreceiving,D12,1.404945715,A1
DNAsource,DNAreceiving,E12,1.316398716,A1
DNAsource,DNAreceiving,F12,1.464032217,A1
DNAsource,DNAreceiving,G12,2.447678863,A1
DNAsource,DNAreceiving,H12,2.214154731,A1
