cultureplate,mediasource,newplate,startpos,DNAvol,H2Ovol,endpos
Culturesource,YNBsource,NewCulture,A1,65.3381247958184,934.661875204182,A1
Culturesource,YNBsource,NewCulture,B1,74.5990302126072,925.400969787393,B1
Culturesource,YNBsource,NewCulture,C1,70.8968450903935,929.103154909606,C1
Culturesource,YNBsource,NewCulture,D1,73.6105999263894,926.389400073611,D1
Culturesource,YNBsource,NewCulture,E1,88.4564352056612,911.543564794339,E1
Culturesource,YNBsource,NewCulture,F1,72.5426187885383,927.457381211462,F1
Culturesource,YNBsource,NewCulture,G1,75.5001887504719,924.499811249528,G1
Culturesource,YNBsource,NewCulture,H1,66.4672648720505,933.53273512795,H1
Culturesource,YNBsource,NewCulture,A2,68.1895669962496,931.81043300375,A2
Culturesource,YNBsource,NewCulture,B2,74.487895716946,925.512104283054,B2
Culturesource,YNBsource,NewCulture,C2,71.9165767709457,928.083423229054,C2
Culturesource,YNBsource,NewCulture,D2,93.2400932400932,906.759906759907,D2
Culturesource,YNBsource,NewCulture,E2,72.020165646381,927.979834353619,E2
Culturesource,YNBsource,NewCulture,F2,70.7964601769911,929.203539823009,F2
Culturesource,YNBsource,NewCulture,G2,77.1307365985345,922.869263401465,G2
Culturesource,YNBsource,NewCulture,H2,68.9417442261289,931.058255773871,H2
Culturesource,YNBsource,NewCulture,A3,72.8597449908925,927.140255009107,A3
Culturesource,YNBsource,NewCulture,B3,70.3977472720873,929.602252727913,B3
Culturesource,YNBsource,NewCulture,C3,69.3240901213172,930.675909878683,C3
Culturesource,YNBsource,NewCulture,D3,81.6659861167824,918.334013883218,D3
Culturesource,YNBsource,NewCulture,E3,67.3627484001347,932.637251599865,E3
Culturesource,YNBsource,NewCulture,F3,69.6136442742777,930.386355725722,F3
Culturesource,YNBsource,NewCulture,G3,70.3977472720873,929.602252727913,G3
Culturesource,YNBsource,NewCulture,H3,67.0016750418761,932.998324958124,H3
Culturesource,YNBsource,NewCulture,A4,76.3067531476536,923.693246852346,A4
Culturesource,YNBsource,NewCulture,B4,93.9408172851104,906.05918271489,B4
Culturesource,YNBsource,NewCulture,C4,107.009095773141,892.990904226859,C4
Culturesource,YNBsource,NewCulture,D4,90.049527239982,909.950472760018,D4
Culturesource,YNBsource,NewCulture,E4,71.7102904266762,928.289709573324,E4
Culturesource,YNBsource,NewCulture,F4,78.8332676389436,921.166732361056,F4
Culturesource,YNBsource,NewCulture,G4,96.8523002421308,903.147699757869,G4
Culturesource,YNBsource,NewCulture,H4,95.9232613908873,904.076738609113,H4
Culturesource,YNBsource,NewCulture,A5,77.7302759424796,922.26972405752,A5
Culturesource,YNBsource,NewCulture,B5,600,400,B5
Culturesource,YNBsource,NewCulture,C5,60.5143721633888,939.485627836611,C5
Culturesource,YNBsource,NewCulture,D5,76.657723265619,923.342276734381,D5
Culturesource,YNBsource,NewCulture,E5,87.6808417360807,912.319158263919,E5
Culturesource,YNBsource,NewCulture,F5,96.665055582407,903.334944417593,F5
Culturesource,YNBsource,NewCulture,G5,90.3750564844103,909.62494351559,G5
Culturesource,YNBsource,NewCulture,H5,80.6126561870214,919.387343812979,H5
Culturesource,YNBsource,NewCulture,A6,74.7104968248039,925.289503175196,A6
Culturesource,YNBsource,NewCulture,B6,98.1836033382425,901.816396661757,B6
Culturesource,YNBsource,NewCulture,C6,80.2246289610911,919.775371038909,C6
Culturesource,YNBsource,NewCulture,D6,74.3770918557084,925.622908144292,D6
Culturesource,YNBsource,NewCulture,E6,77.9727095516569,922.027290448343,E6
Culturesource,YNBsource,NewCulture,F6,85.4335753951303,914.56642460487,F6
Culturesource,YNBsource,NewCulture,G6,63.4316523945449,936.568347605455,G6
Culturesource,YNBsource,NewCulture,H6,89.8876404494382,910.112359550562,H6
Culturesource,YNBsource,NewCulture,A7,74.1564701520208,925.843529847979,A7
Culturesource,YNBsource,NewCulture,B7,104.98687664042,895.01312335958,B7
Culturesource,YNBsource,NewCulture,C7,92.2083909635777,907.791609036422,C7
Culturesource,YNBsource,NewCulture,D7,75.6143667296786,924.385633270321,D7
Culturesource,YNBsource,NewCulture,E7,75.2728641324802,924.72713586752,E7
