name,old.plate,old.well,int.plate,int.well,new.plate,new.well,vol
A08_59,A08,E11,BYxRM_eQTL_06,H10,BYxRM_eQTL_13,G1,5
A08_88,A08,H4,BYxRM_eQTL_06,A10,BYxRM_eQTL_13,D2,5
A02_36,A02,C12,BYxRM_eQTL_06,E7,BYxRM_eQTL_13,C12,5
A07_94,A07,H10,BYxRM_eQTL_06,E10,BYxRM_eQTL_13,E12,5
A07_38,A07,D2,BYxRM_eQTL_06,G10,BYxRM_eQTL_13,H2,5
A10_15,A10,B3,BYxRM_eQTL_06,F8,BYxRM_eQTL_13,D11,5
A04_37,A04,D1,BYxRM_eQTL_06,C9,BYxRM_eQTL_13,G5,5
A04_30,A04,C6,BYxRM_eQTL_07,G7,BYxRM_eQTL_13,C3,5
A05_66,A05,F6,BYxRM_eQTL_07,F1,BYxRM_eQTL_13,D1,5
A10_03,A10,A3,BYxRM_eQTL_07,B7,BYxRM_eQTL_13,F12,5
A07_59,A07,E11,BYxRM_eQTL_07,D5,BYxRM_eQTL_13,G6,5
A10_81,A10,G9,BYxRM_eQTL_07,E6,BYxRM_eQTL_13,B11,5
A04_40,A04,D4,BYxRM_eQTL_07,F6,BYxRM_eQTL_13,B12,5
A06_42,A06,D6,BYxRM_eQTL_07,D6,BYxRM_eQTL_13,A12,5
A07_16,A07,B4,BYxRM_eQTL_07,C5,BYxRM_eQTL_13,F4,5
A11_47,A11,D11,BYxRM_eQTL_07,A7,BYxRM_eQTL_13,A1,5
A01_26,A01,C2,BYxRM_eQTL_07,E3,BYxRM_eQTL_13,F2,5
A06_81,A06,G9,BYxRM_eQTL_07,B6,BYxRM_eQTL_13,E10,5
A02_28,A02,C4,BYxRM_eQTL_07,B9,BYxRM_eQTL_13,H12,5
A10_88,A10,H4,BYxRM_eQTL_07,E7,BYxRM_eQTL_13,G10,5
A03_08,A03,A8,BYxRM_eQTL_07,A5,BYxRM_eQTL_13,B2,5
A09_92,A09,H8,BYxRM_eQTL_07,D2,BYxRM_eQTL_13,F7,5
A09_90,A09,H6,BYxRM_eQTL_07,B3,BYxRM_eQTL_13,H4,5
A11_92,A11,H8,BYxRM_eQTL_07,B10,BYxRM_eQTL_13,C6,5
A02_89,A02,H5,BYxRM_eQTL_07,A10,BYxRM_eQTL_13,C9,5
A04_38,A04,D2,BYxRM_eQTL_07,F10,BYxRM_eQTL_13,D6,5
A06_13,A06,B1,BYxRM_eQTL_07,G12,BYxRM_eQTL_13,B4,5
A08_29,A08,C5,BYxRM_eQTL_08,G5,BYxRM_eQTL_13,A6,5
A02_87,A02,H3,BYxRM_eQTL_08,B8,BYxRM_eQTL_13,G9,5
