name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A09_33,16.466440075434,577,A09,C9,BYxRM_eQTL_07,H8,5
A09_90,16.4702750080894,578,A09,H6,BYxRM_eQTL_07,B3,5
A06_49,16.4725072529385,579,A06,E1,BYxRM_eQTL_07,D7,5
A02_05,16.4760571981555,580,A02,A5,BYxRM_eQTL_07,G2,5
A11_45,16.4769093450336,581,A11,D9,BYxRM_eQTL_07,D11,5
A01_24,16.4774842794076,582,A01,B12,BYxRM_eQTL_07,B1,5
A07_63,16.4777801028419,583,A07,F3,BYxRM_eQTL_07,H9,5
A04_28,16.477800546428,584,A04,C4,BYxRM_eQTL_07,H10,5
A09_92,16.4783671623274,585,A09,H8,BYxRM_eQTL_07,D2,5
A01_07,16.4793389894404,586,A01,A7,BYxRM_eQTL_07,F3,5
A04_84,16.4818102683015,587,A04,G12,BYxRM_eQTL_07,G3,5
A02_30,16.4818518037593,588,A02,C6,BYxRM_eQTL_07,H4,5
A10_71,16.4860703170138,589,A10,F11,BYxRM_eQTL_07,D10,5
A11_47,16.4886251648791,590,A11,D11,BYxRM_eQTL_07,A7,5
A01_59,16.4895417049852,591,A01,E11,BYxRM_eQTL_07,E9,5
A03_61,16.4922220297707,592,A03,F1,BYxRM_eQTL_07,H5,5
A07_59,16.4931314226284,593,A07,E11,BYxRM_eQTL_07,D5,5
A08_70,16.4963348760688,594,A08,F10,BYxRM_eQTL_07,F4,5
A09_41,16.4971043505681,595,A09,D5,BYxRM_eQTL_07,H2,5
A10_62,16.5026973967899,596,A10,F2,BYxRM_eQTL_07,E5,5
A04_21,16.5102815111631,597,A04,B9,BYxRM_eQTL_07,C7,5
A05_05,16.5110355511829,598,A05,A5,BYxRM_eQTL_07,H1,5
A08_32,16.5120052354034,599,A08,C8,BYxRM_eQTL_07,B5,5
A06_26,16.5206615709602,600,A06,C2,BYxRM_eQTL_07,D4,5
A08_89,16.5242221993294,601,A08,H5,BYxRM_eQTL_07,C3,5
A10_85,16.5243639035891,602,A10,H1,BYxRM_eQTL_07,F5,5
A04_44,16.5243906915142,603,A04,D8,BYxRM_eQTL_07,E1,5
A09_86,16.5279280245106,604,A09,H2,BYxRM_eQTL_07,E10,5
A09_25,16.5284715115568,605,A09,C1,BYxRM_eQTL_07,D9,5
A08_95,16.5294572378789,606,A08,H11,BYxRM_eQTL_07,B4,5
A09_06,16.5336807338183,607,A09,A6,BYxRM_eQTL_07,A2,5
A02_89,16.5364783897843,608,A02,H5,BYxRM_eQTL_07,A10,5
A06_33,16.5395524697899,609,A06,C9,BYxRM_eQTL_07,E11,5
A07_17,16.5439475427341,610,A07,B5,BYxRM_eQTL_07,A11,5
A05_06,16.5459921942276,611,A05,A6,BYxRM_eQTL_07,H3,5
A04_72,16.5474656865736,612,A04,F12,BYxRM_eQTL_07,C6,5
A10_81,16.5502103524796,613,A10,G9,BYxRM_eQTL_07,E6,5
A06_13,16.5537003708356,614,A06,B1,BYxRM_eQTL_07,G12,5
A07_16,16.5563346134722,615,A07,B4,BYxRM_eQTL_07,C5,5
A04_30,16.5575660692435,616,A04,C6,BYxRM_eQTL_07,G7,5
A10_88,16.5591876082776,617,A10,H4,BYxRM_eQTL_07,E7,5
A06_93,16.5612167467457,618,A06,H9,BYxRM_eQTL_07,D3,5
A01_86,16.56307062563,619,A01,H2,BYxRM_eQTL_07,A8,5
A07_47,16.5680306826543,620,A07,D11,BYxRM_eQTL_07,G8,5
A10_16,16.5689103693159,621,A10,B4,BYxRM_eQTL_07,C2,5
A11_78,16.5708215296072,622,A11,G6,BYxRM_eQTL_07,F12,5
A03_08,16.5717527530483,623,A03,A8,BYxRM_eQTL_07,A5,5
A01_63,16.5721366745294,624,A01,F3,BYxRM_eQTL_07,F8,5
A04_38,16.572678626564,625,A04,D2,BYxRM_eQTL_07,F10,5
A11_80,16.5763877867287,626,A11,G8,BYxRM_eQTL_07,C8,5
A01_75,16.5776736100375,627,A01,G3,BYxRM_eQTL_07,B2,5
A02_31,16.5814197669942,628,A02,C7,BYxRM_eQTL_07,A4,5
A08_81,16.582159232169,629,A08,G9,BYxRM_eQTL_07,B8,5
A02_28,16.5846557031903,630,A02,C4,BYxRM_eQTL_07,B9,5
A10_78,16.5849892639716,631,A10,G6,BYxRM_eQTL_07,A1,5
A05_59,16.5908536780969,632,A05,E11,BYxRM_eQTL_07,G9,5
A09_88,16.5910067610362,633,A09,H4,BYxRM_eQTL_07,E2,5
A05_87,16.5972202809875,634,A05,H3,BYxRM_eQTL_07,E12,5
A02_63,16.5981970493383,635,A02,F3,BYxRM_eQTL_07,B12,5
A06_15,16.5989623863399,636,A06,B3,BYxRM_eQTL_07,A3,5
A05_03,16.6018032336708,637,A05,A3,BYxRM_eQTL_07,E4,5
A05_60,16.6060016086634,638,A05,E12,BYxRM_eQTL_07,D1,5
A03_56,16.6074783977414,639,A03,E8,BYxRM_eQTL_07,F7,5
A05_66,16.6084600837029,640,A05,F6,BYxRM_eQTL_07,F1,5
A05_47,16.6089727696451,641,A05,D11,BYxRM_eQTL_07,G4,5
A06_81,16.6109179417159,642,A06,G9,BYxRM_eQTL_07,B6,5
A06_04,16.6116661926393,643,A06,A4,BYxRM_eQTL_07,G11,5
A04_06,16.619436558892,644,A04,A6,BYxRM_eQTL_07,C11,5
A02_42,16.620747106759,645,A02,D6,BYxRM_eQTL_07,G5,5
A03_31,16.6208887590099,646,A03,C7,BYxRM_eQTL_07,F11,5
A04_17,16.6250191364282,647,A04,B5,BYxRM_eQTL_07,B11,5
A02_34,16.6283532087559,648,A02,C10,BYxRM_eQTL_07,A6,5
A10_03,16.6299642457507,649,A10,A3,BYxRM_eQTL_07,B7,5
A11_92,16.6305103380741,650,A11,H8,BYxRM_eQTL_07,B10,5
A09_20,16.6317595652981,651,A09,B8,BYxRM_eQTL_07,D12,5
A11_34,16.6320098185302,652,A11,C10,BYxRM_eQTL_07,A12,5
A01_26,16.6335442125638,653,A01,C2,BYxRM_eQTL_07,E3,5
A09_52,16.6349423090693,654,A09,E4,BYxRM_eQTL_07,G1,5
A11_19,16.6371426085803,655,A11,B7,BYxRM_eQTL_07,F9,5
A10_84,16.6374991739111,656,A10,G12,BYxRM_eQTL_07,F2,5
A04_50,16.6380278320079,657,A04,E2,BYxRM_eQTL_07,C4,5
A10_41,16.6387833321369,658,A10,D5,BYxRM_eQTL_07,G10,5
A08_06,16.6392394269434,659,A08,A6,BYxRM_eQTL_07,C1,5
A08_39,16.6399901527168,660,A08,D3,BYxRM_eQTL_07,E8,5
A03_60,16.6402491127058,661,A03,E12,BYxRM_eQTL_07,D8,5
A04_47,16.6417643726414,662,A04,D11,BYxRM_eQTL_07,C12,5
A05_78,16.6437320808696,663,A05,G6,BYxRM_eQTL_07,A9,5
A02_77,16.6472190520762,664,A02,G5,BYxRM_eQTL_07,C10,5
A05_68,16.6472364425088,665,A05,F8,BYxRM_eQTL_07,H7,5
A06_47,16.647732018692,666,A06,D11,BYxRM_eQTL_07,H12,5
A03_52,16.6479628271334,667,A03,E4,BYxRM_eQTL_07,H6,5
A03_53,16.6512768310469,668,A03,E5,BYxRM_eQTL_07,H11,5
A06_17,16.6525096227404,669,A06,B5,BYxRM_eQTL_07,G6,5
A04_40,16.6579936672193,670,A04,D4,BYxRM_eQTL_07,F6,5
A06_42,16.6582015744749,671,A06,D6,BYxRM_eQTL_07,D6,5
A03_47,16.6603679942434,672,A03,D11,BYxRM_eQTL_07,C9,5
