name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A02_09,11.8073649891838,1,A02,A9,BYxRM_eQTL_01,D11,5
A10_48,12.906269093853,2,A10,D12,BYxRM_eQTL_01,G9,5
A06_73,13.0001362040551,3,A06,G1,BYxRM_eQTL_01,D4,5
A01_25,13.158839504455,4,A01,C1,BYxRM_eQTL_01,H10,5
A04_48,13.4070008066817,5,A04,D12,BYxRM_eQTL_01,A7,5
A11_22,13.4402019863446,6,A11,B10,BYxRM_eQTL_01,D10,5
A10_26,13.4742338397838,7,A10,C2,BYxRM_eQTL_01,C6,5
A06_09,13.48568722829,8,A06,A9,BYxRM_eQTL_01,C12,5
A03_76,13.5145369029276,9,A03,G4,BYxRM_eQTL_01,A8,5
A05_34,13.6710589853657,10,A05,C10,BYxRM_eQTL_01,C11,5
A11_23,13.7311167561286,11,A11,B11,BYxRM_eQTL_01,B7,5
A07_58,13.8010636590477,12,A07,E10,BYxRM_eQTL_01,E6,5
A07_76,13.8519277589923,13,A07,G4,BYxRM_eQTL_01,F3,5
A11_75,13.8543260737988,14,A11,G3,BYxRM_eQTL_01,C5,5
A09_56,13.8835339482239,15,A09,E8,BYxRM_eQTL_01,D8,5
A05_19,13.9073299070394,16,A05,B7,BYxRM_eQTL_01,G3,5
A01_96,13.9611009790404,17,A01,H12,BYxRM_eQTL_01,H5,5
A07_24,13.9695066467399,18,A07,B12,BYxRM_eQTL_01,H3,5
A04_33,13.9976388721641,19,A04,C9,BYxRM_eQTL_01,C2,5
A08_73,14.0112190459528,20,A08,G1,BYxRM_eQTL_01,A6,5
A08_54,14.0335739046256,21,A08,E6,BYxRM_eQTL_01,A5,5
A11_76,14.0506133443891,22,A11,G4,BYxRM_eQTL_01,A10,5
A08_68,14.0561127538853,23,A08,F8,BYxRM_eQTL_01,C8,5
A09_91,14.06623655848,24,A09,H7,BYxRM_eQTL_01,C7,5
A11_41,14.0896931708705,25,A11,D5,BYxRM_eQTL_01,E3,5
A09_84,14.1741201802528,26,A09,G12,BYxRM_eQTL_01,B4,5
A05_18,14.1847108124085,27,A05,B6,BYxRM_eQTL_01,E9,5
A02_92,14.2033262307622,28,A02,H8,BYxRM_eQTL_01,C10,5
A09_11,14.2108484703447,29,A09,A11,BYxRM_eQTL_01,B2,5
A04_42,14.2130073840127,30,A04,D6,BYxRM_eQTL_01,D6,5
A09_74,14.2610029193218,31,A09,G2,BYxRM_eQTL_01,E8,5
A02_69,14.2623995181393,32,A02,F9,BYxRM_eQTL_01,A9,5
A05_56,14.2670037960669,33,A05,E8,BYxRM_eQTL_01,G5,5
A06_62,14.2899643899015,34,A06,F2,BYxRM_eQTL_01,D5,5
A11_82,14.31180833126,35,A11,G10,BYxRM_eQTL_01,B9,5
A01_81,14.3320957874602,36,A01,G9,BYxRM_eQTL_01,E12,5
A02_11,14.3509942646072,37,A02,A11,BYxRM_eQTL_01,B11,5
A09_08,14.3750371130844,38,A09,A8,BYxRM_eQTL_01,H12,5
A04_39,14.3889693489606,39,A04,D3,BYxRM_eQTL_01,E2,5
A05_43,14.3890171383475,40,A05,D7,BYxRM_eQTL_01,B3,5
A10_67,14.38950452807,41,A10,F7,BYxRM_eQTL_01,E5,5
A04_10,14.3948365643492,42,A04,A10,BYxRM_eQTL_01,E11,5
A07_56,14.3973134037626,43,A07,E8,BYxRM_eQTL_01,G4,5
A08_61,14.4119285344622,44,A08,F1,BYxRM_eQTL_01,G12,5
A03_09,14.418780558911,45,A03,A9,BYxRM_eQTL_01,H8,5
A08_56,14.4290461014924,46,A08,E8,BYxRM_eQTL_01,E7,5
A04_13,14.4469914293553,47,A04,B1,BYxRM_eQTL_01,D12,5
A10_13,14.4630535068462,48,A10,B1,BYxRM_eQTL_01,A12,5
A09_03,14.5078223339473,49,A09,A3,BYxRM_eQTL_01,G7,5
A01_20,14.5146233115905,50,A01,B8,BYxRM_eQTL_01,F9,5
A07_28,14.5228742202283,51,A07,C4,BYxRM_eQTL_01,D3,5
A11_14,14.5422898136397,52,A11,B2,BYxRM_eQTL_01,A4,5
A03_72,14.5772017442911,53,A03,F12,BYxRM_eQTL_01,F12,5
A03_88,14.584186377582,54,A03,H4,BYxRM_eQTL_01,A2,5
A11_09,14.5911933527651,55,A11,A9,BYxRM_eQTL_01,E1,5
A10_92,14.600803934827,56,A10,H8,BYxRM_eQTL_01,F6,5
A05_52,14.6239171245695,57,A05,E4,BYxRM_eQTL_01,D7,5
A04_35,14.639473007338,58,A04,C11,BYxRM_eQTL_01,G1,5
A03_26,14.6486658737032,59,A03,C2,BYxRM_eQTL_01,H6,5
A05_17,14.6524991259946,60,A05,B5,BYxRM_eQTL_01,B8,5
A09_13,14.6532156429279,61,A09,B1,BYxRM_eQTL_01,F5,5
A03_29,14.6570079373981,62,A03,C5,BYxRM_eQTL_01,F8,5
A07_48,14.6627260631718,63,A07,D12,BYxRM_eQTL_01,F11,5
A10_22,14.6694055350401,64,A10,B10,BYxRM_eQTL_01,C1,5
A06_23,14.6815439339192,65,A06,B11,BYxRM_eQTL_01,H11,5
A11_18,14.6995841878947,66,A11,B6,BYxRM_eQTL_01,F4,5
A09_93,14.7012350667208,67,A09,H9,BYxRM_eQTL_01,G11,5
A03_82,14.7103468178535,68,A03,G10,BYxRM_eQTL_01,B1,5
A07_64,14.7180855494799,69,A07,F4,BYxRM_eQTL_01,H1,5
A08_17,14.7201666776495,70,A08,B5,BYxRM_eQTL_01,E10,5
A11_28,14.7231948182421,71,A11,C4,BYxRM_eQTL_01,H2,5
A03_48,14.724021212925,72,A03,D12,BYxRM_eQTL_01,B12,5
A06_58,14.7290018905589,73,A06,E10,BYxRM_eQTL_01,F7,5
A11_67,14.7369069873644,74,A11,F7,BYxRM_eQTL_01,C9,5
A05_71,14.7405029912393,75,A05,F11,BYxRM_eQTL_01,H9,5
